Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18770&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18899&classDate=1/11/2024&clsLoc=1,IN-PERSON: All Levels YOGA: MOVING MEDITATION with Mariangel Romero,Mariangel Romero,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18693&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18901&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg HIP-HOP with Ness Martinez,Ness Martinez,Studio 2,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18713&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18868&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18792&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18834&classDate=1/11/2024&clsLoc=1,IN-PERSON: All Levels VOICE with Eric Fotre Leach,Eric Fotre Leach,Studio 2,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18095&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18905&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg BALLET with Yuka Kawazu,Yuka Kawazu,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18992&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int Adv HEELS with Kayla Maria G,Kayla Maria G,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18815&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Nijawwon Matthews,Nijawwon Matthews,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18809&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Benjamin Briones,Studio A,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18959&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int THEATER with Brandon Kelly,Brandon Kelly,Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18842&classDate=1/11/2024&clsLoc=1,IN-PERSON: Basic BALLET with Erica Ratkovicz,Erica Ratkovicz,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18344&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int Adv TAP with Derek Roland,Derek Roland,Studio B,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18795&classDate=1/11/2024&clsLoc=1,IN-PERSON: All Levels BURLESQUE JAZZ with Tony Guerrero,Tony Guerrero,Studio A,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18866&classDate=1/11/2024&clsLoc=1,IN-PERSON: Basic TAP with Madison Hilligoss,Madison Hilligoss,Studio B,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18807&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with Deshawn Da Prince,Deshawn Da Prince,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18804&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY with Alexa Luke,Sean Viator (6),Studio A,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18864&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int STREET JAZZ with Yusaku Komori,Yusaku Komori,Studio 3,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18467&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Jenifer Dillow,Jenifer Dillow,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18726&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18908&classDate=1/11/2024&clsLoc=1,IN-PERSON: Basic TAP with Ali Dietz,Ali Dietz,Studio B,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18778&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int BALLET with Jamie Salmon,Deanna Doyle (1),Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18789&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg BROADWAY JAZZ with Sue Samuels,Kara Ayn Napolitano (2),Studio 2,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18113&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg TAP with Jill Kenney,Jill Kenney,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18337&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Avital Asuleen,Avital Asuleen,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18714&classDate=1/11/2024&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18707&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18304&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Marjorie Failoni,Marjorie Failoni,Studio 1,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18783&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Blue,Blue,Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18203&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int TAP with April Cook,April Cook,Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18300&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg TAP with Katharine Pettit,Luke Hawkins (3),Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18893&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int STREET JAZZ with Bo Park,Nick Kim (4),Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18837&classDate=1/11/2024&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18880&classDate=1/11/2024&clsLoc=1,IN-PERSON: Beg THEATER with Elyn Collier,Tiger Brown (5),Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18956&classDate=1/11/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY FUSION with Maleek Washington,Maleek Washington,Studio 1,1 hour &30 minutes
