Studio,Start time,,Classes,Teacher,Duration
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2172&classDate=1/11/2024&clsLoc=1,Advanced Beginner,Brian Davis,1 hour &15 minutes
ATDF,6:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2171&classDate=1/11/2024&clsLoc=1,Basic,Maria Clara Laet (1),1 hour &15 minutes
