Studio,Start time,Classes,Instructor,Sign up
SassClass,10:50:00,Sexy Stilettos,Iryna (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=716&classDate=10/1/2023&clsLoc=1
SassClass,12:00:00,Flirty Floorwork,Iryna (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=612&classDate=10/1/2023&clsLoc=1
SassClass,12:15:00,Fierce Feminine Hip-Hop,Mary,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=611&classDate=10/1/2023&clsLoc=1
SassClass,14:20:00,Reggaeton,Jahaira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=715&classDate=10/1/2023&clsLoc=1
