Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7847&classDate=9/13/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7801&classDate=9/13/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,William Waldinger,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7893&classDate=9/13/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7848&classDate=9/13/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Marsha Knight (11),none,Studio 2,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7826&classDate=9/13/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Stephanie Chun,none,Studio 1,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,none,IN-STUDIO Mat Pilates Class,Cancelled Today,none,none,1 hour
Ballet Academy East,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7874&classDate=9/13/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,BAE Faculty (13),none,Studio 3,1 hour & 30 minutes
Ballet Academy East,7:00 pm  EDT,none,IN-STUDIO Advanced Beginner Contemporary,Cancelled Today,none,none,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7802&classDate=9/13/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Marsha Knight (14),none,Studio 1,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7836&classDate=9/13/2023&clsLoc=1,IN-STUDIO Beginner Ballet,William Waldinger,none,Studio 2,1 hour & 30 minutes
