Studio,Time,Class,Instructor,Location,Sign up,Date,Style
BAE,13:00:00,Int Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,10:00:00,Adv Beg Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,10:00:00,Livestream Adv Beg Ballet,,,None,2024-08-13,Ballet
BAE,11:00:00,Basic Beg Ballet,,Studio 4,None,2024-08-13,Ballet
BAE,11:00:00,Online: Live-stream Basic Beg Ballet,,Online,None,2024-08-13,Ballet
BAE,11:30:00,Int Ballet,,Studio 6,None,2024-08-13,Ballet
BAE,11:30:00,Online: Live-stream Int Ballet,,Online,None,2024-08-13,Ballet
BAE,12:00:00,Intro To Ballet,,Studio 5,None,2024-08-13,Ballet
BAE,13:30:00,Beg Ballet,,Studio 5,None,2024-08-13,Ballet
Ballet Arts,10:00:00,: Open Level Ballet,Yumiko Niimi,Ballet Arts Studio Live!,None,2024-08-13,Ballet
Ballet Arts,10:00:00,Open Level Ballet,Yumiko Niimi,Ballet Arts Virtual - 2,None,2024-08-13,Ballet
Ballet Arts,13:00:00,: Int Ballet,Anna Fateeva,Ballet Arts Studio Live!,None,2024-08-13,Ballet
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva,Ballet Arts - Virtual Studio,None,2024-08-13,Ballet
Ballet Arts,14:30:00,: Adv Int Ballet,François Perron,Ballet Arts Studio Live!,None,2024-08-13,Ballet
Ballet Arts,14:30:00,Adv Int Ballet,François Perron,Ballet Arts - Virtual Studio,None,2024-08-13,Ballet
Ballet Arts,16:00:00,: Adv Beg Ballet,Noriko Hara,Ballet Arts Studio Live!,None,2024-08-13,Ballet
Ballet Arts,16:00:00,Adv Beg Ballet,Noriko Hara,Ballet Arts - Virtual Studio,None,2024-08-13,Ballet
Ballet Arts,19:00:00,: Beg Ballet,Richard Marsden,Ballet Arts Studio Live!,None,2024-08-13,Ballet
Ballet Arts,19:00:00,Beg Ballet,Richard Marsden,Ballet Arts - Virtual Studio,None,2024-08-13,Ballet
BDC,09:00:00,Adv Beg Ballet With Luis Villar,Luis Villar,Studio 1,None,2024-08-13,Ballet
BDC,10:30:00,Beg Ballet With Jamie Salmon,Jamie Salmon,Studio A,None,2024-08-13,Ballet
BDC,10:30:00,Livestream: Beg Ballet With Jamie Salmon,Ls St-a,,None,2024-08-13,Ballet
BDC,12:00:00,Adv Beg Ballet With Dorit Koppel,Dorit Koppel,Studio 1,None,2024-08-13,Ballet
BDC,13:45:00,Basic Ballet With Dorit Koppel,Dorit Koppel,Studio 1,None,2024-08-13,Ballet
BDC,15:30:00,Beg Ballet With Yuka Kawazu,Yuka Kawazu,Studio 4,None,2024-08-13,Ballet
BDC,17:15:00,Int Ballet With Sarah Simon Wolff,Brandon Cournay (10),Studio 4,None,2024-08-13,Ballet
BDC,19:00:00,Basic Ballet With Sarah Simon Wolff,Brandon Cournay (11),Studio 4,None,2024-08-13,Ballet
Gibney,10:00:00,Adv Ballet With Elisa Clark At 890,Elisa Clark,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,10:00:00,Ballet With Gilbert T Small Ii At 890,,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,18:30:00,Int/adv Beg Ballet With Kat Wildish At 890,1 Hour,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,12:00:00,Ballet With Brian Lawson At 890,Brian Lawson,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,18:30:00,Absolute Beg Ballet With Kat Wildish At 890,1 Hour,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,10:00:00,Ballet With Andrew Champlin At 890,Andrew Champlin,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,18:30:00,Int/adv Beg Ballet With Kat Wildish At 890,1 Hour,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,10:00:00,Ballet With Nina Goldman At 890,Nina Goldman,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,12:00:00,Ballet At 890,Teacher Tbd,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Gibney,10:30:00,Int/adv Beg Ballet With Kat Wildish At 890,Kat Wildish,Gibney 890: Studio 5-2,None,2024-08-13,Ballet
Mark Morris,10:00:00,Adv Ballet,2 Hours,,None,2024-08-13,Ballet
Mark Morris,19:00:00,Beg Ballet,Brendan *polk,,None,2024-08-13,Ballet
Mark Morris,10:00:00,Adv Ballet,2 Hours,,None,2024-08-13,Ballet
Mark Morris,19:00:00,Int Ballet,Dmitry *polischuk,,None,2024-08-13,Ballet
Mark Morris,10:00:00,Adv Ballet,2 Hours,,None,2024-08-13,Ballet
Mark Morris,10:00:00,Beg Ballet,Santiago *belgrano,,None,2024-08-13,Ballet
Mark Morris,19:00:00,Int Ballet,George *lykogiannis,,None,2024-08-13,Ballet
Mark Morris,10:00:00,Adv Ballet,2 Hours,,None,2024-08-13,Ballet
Mark Morris,10:00:00,Beg Ballet,Patrick *gallagher,,None,2024-08-13,Ballet
Peridance,09:30:00,Open Ballet,,,None,2024-08-13,Ballet
Peridance,10:00:00,Adv Ballet,,,None,2024-08-13,Ballet
Peridance,11:30:00,Beg Ballet,,,None,2024-08-13,Ballet
Peridance,13:00:00,Inter Ballet,,,None,2024-08-13,Ballet
Peridance,16:00:00,Open Ballet,,,None,2024-08-13,Ballet
Peridance,17:30:00,Beg Ballet,,,None,2024-08-13,Ballet
PMT,16:00:00,In Person: Beg Ballet,Ci Diaz,,None,2024-08-13,Ballet
Steps,09:00:00,Int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,09:45:00,Int/adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,10:00:00,Adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,10:45:00,Adv/beg Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,11:30:00,Adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,13:30:00,Int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,17:00:00,Adv/int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,18:45:00,Beg/int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,19:00:00,Int/adv Contemp Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,09:00:00,Virtual 90 Int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,09:45:00,Virtual 90 Int/adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,10:00:00,Virtual 90 Adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,10:45:00,Virtual 90 Adv/beg Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,11:30:00,Virtual 90 Adv Pro Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,13:30:00,Virtual 90 Int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,17:00:00,Virtual 90 Adv/int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,18:45:00,Virtual 90 Beg/int Ballet,Steps On Broadway,,None,2024-08-13,Ballet
Steps,19:00:00,Virtual 90 Int/adv Contemp Ballet,Steps On Broadway,,None,2024-08-13,Ballet
