Studio,Time,Class,Instructor,Location,Sign up,Date,Style
Brickhouse,15:00:00,X Factory Training (private),Kelly Peters,3 Hours,None,2024-08-13,Additional Disciplines
Brickhouse,18:00:00,X Pro (private),Kelly Peters,2 Hours,None,2024-08-13,Additional Disciplines
Cumbe,18:30:00,,Babacar M'baye,,None,2024-08-13,Additional Disciplines
Cumbe,19:00:00,,Dianne Adkins-forte,,None,2024-08-13,Additional Disciplines
Cumbe,19:00:00,,,,None,2024-08-13,Additional Disciplines
Cumbe,19:30:00,,Carnyval Soca Dancers,,None,2024-08-13,Additional Disciplines
Cumbe,18:45:00,,Robenson Mathurin,,None,2024-08-13,Additional Disciplines
Cumbe,14:00:00,,Lamine Thiam (1),,None,2024-08-13,Additional Disciplines
Cumbe,10:30:00,,Jaida,,None,2024-08-13,Additional Disciplines
Cumbe,12:00:00,,Darian Parker,,None,2024-08-13,Additional Disciplines
Cumbe,10:30:00,,Jaida,,None,2024-08-13,Additional Disciplines
Cumbe,12:00:00,,Darian Parker,,None,2024-08-13,Additional Disciplines
Gibney,14:00:00,,Claudia Brown,Gibney 280: Studio D,None,2024-08-13,Additional Disciplines
Gibney,16:00:00,,Alexis Vinzons,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,10:00:00,,Maya Laliberté,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,14:00:00,Pilates Mat Class For Dancers: Movement Research At 280,Johanna S. Meyer,Gibney 280: Studio D,None,2024-08-13,Additional Disciplines
Gibney,18:45:00,,Kyle Scheurich,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,10:00:00,,Katy Pyle,Gibney 890: Studio 5-2,None,2024-08-13,Additional Disciplines
Gibney,10:30:00,,Alexandra Beller,Gibney 280: Studio X,None,2024-08-13,Additional Disciplines
Gibney,12:30:00,,Marion Helfenstein,Gibney 280: Studio D,None,2024-08-13,Additional Disciplines
Gibney,12:00:00,,Teacher Tbd,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,12:30:00,,Jodi Moccia,Gibney 280: Studio D,None,2024-08-13,Additional Disciplines
Gibney,10:00:00,,1 Hour,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,10:00:00,,2 Hours,Gibney 280: Studio B,None,2024-08-13,Additional Disciplines
Gibney,14:00:00,,Claudia Brown,Gibney 280: Studio B,None,2024-08-13,Additional Disciplines
Gibney,10:30:00,,Teresa Perez Ceccon,Gibney 280: Studio E,None,2024-08-13,Additional Disciplines
Gibney,10:30:00,,Giulia Carotenuto,Gibney 280: Studio D,None,2024-08-13,Additional Disciplines
Gibney,10:30:00,,1 Hour,Gibney 280: Studio C,None,2024-08-13,Additional Disciplines
Gibney,12:00:00,,Madison Elliott,Gibney 280: Studio E,None,2024-08-13,Additional Disciplines
Gibney,12:00:00,,1 Hour,Gibney 890: Studio 5-2,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,18:30:00,Chk Chk Boom | Stray Kids (part 2),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,20:00:00,Xo | Enhypen (part 2),Fernando Farias,,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,17:30:00,Supernatural | Newjeans (part 2),Maylin Ramos,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,19:00:00,Kpop Diet Dance,Dj Mciver,,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,20:00:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,17:00:00,Walk | Nct 127 (part 2),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,18:30:00,Chk Chk Boom | Stray Kids (part 2),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,18:30:00,Rockstar | Lisa (part 2),Winnie Chung,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,19:00:00,Kpop Diet Dance,Dj Mciver,,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,20:00:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,18:30:00,Rockstar | Lisa (part 2),Winnie Chung,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,20:00:00,Walk | Nct 127 (part 2),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,11:30:00,Rockstar | Lisa (part 2),Winnie Chung,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,13:00:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,14:30:00,Chk Chk Boom | Stray Kids (part 2),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,16:00:00,Xo | Enhypen (part 2),Fernando Farias,,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,17:30:00,Supernatural | Newjeans (part 2),Maylin Ramos,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance Manhattan,14:00:00,Mic Drop | Bts Dance Break (one Day),Ying Dong,Manhattan,None,2024-08-13,Additional Disciplines
ILoveDance NJ,18:00:00,Sticky | Kiss Of Life (part 2),Maylin Ramos,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,19:30:00,Rockstar | Lisa (part 2),Winnie Chung,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,18:00:00,Rockstar | Lisa (part 2),Winnie Chung,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,19:30:00,Chk Chk Boom | Stray Kids (part 2),Regina Lustre,Fort Lee Studio 2,None,2024-08-13,Additional Disciplines
ILoveDance NJ,18:00:00,Supernatural | Newjeans (part 2),Maylin Ramos,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,19:30:00,Xo | Enhypen (part 2),Fernando Farias,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,09:30:00,Beg Kpop,Regina Lustre,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,18:00:00,Sticky | Kiss Of Life (part 2),Maylin Ramos,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,19:30:00,Walk | Nct 127 (part 2),Regina Lustre,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,18:00:00,Supernatural | Newjeans (part 2),Maylin Ramos,Fort Lee Studio 1,None,2024-08-13,Additional Disciplines
ILoveDance NJ,19:30:00,Chk Chk Boom | Stray Kids (part 2),Regina Lustre,Fort Lee Studio 2,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:00:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:30:00,Walk | Nct 127 (part 2),Ying Dong,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,20:00:00,Chk Chk Boom | Stray Kids (part 2),Ying Dong,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:00:00,Rockstar | Lisa (part 2),Winnie Chung,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,19:30:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:30:00,Walk | Nct 127 (part 2),Ying Dong,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,20:00:00,Chk Chk Boom | Stray Kids (part 2),Ying Dong,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:00:00,Sticky | Kiss Of Life (part 2),Eunice Shin,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,19:30:00,Xo | Enhypen (part 2),Fernando Farias,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,12:30:00,Xo | Enhypen (part 2),Fernando Farias,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,14:00:00,Supernatural | Newjeans (part 2),Maylin Ramos,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,15:30:00,Rockstar | Lisa (part 2),Winnie Chung,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance Queens,18:00:00,Kpop Diet Dance,Dj Mciver,Flushing,None,2024-08-13,Additional Disciplines
ILoveDance,18:00:00,Online: Online: Sticky | Kiss Of Life (part 2),Eunice Shin,,None,2024-08-13,Additional Disciplines
ILoveDance,18:30:00,Online: Online: Walk | Nct 127 (part 2),Ying Dong,,None,2024-08-13,Additional Disciplines
ILoveDance,20:00:00,Online: Online: Chk Chk Boom | Stray Kids (part 2),Ying Dong,,None,2024-08-13,Additional Disciplines
ILoveDance,18:00:00,Online: Online: Rockstar | Lisa (part 2),Winnie Chung,,None,2024-08-13,Additional Disciplines
ILoveDance,19:30:00,Online: Online: Sticky | Kiss Of Life (part 2),Eunice Shin,,None,2024-08-13,Additional Disciplines
ILoveDance,18:30:00,Online: Online: Walk | Nct 127 (part 2),Ying Dong,,None,2024-08-13,Additional Disciplines
ILoveDance,20:00:00,Online: Online: Chk Chk Boom | Stray Kids (part 2),Ying Dong,,None,2024-08-13,Additional Disciplines
ILoveDance,18:00:00,Online: Online: Sticky | Kiss Of Life (part 2),Eunice Shin,,None,2024-08-13,Additional Disciplines
ILoveDance,19:30:00,Online: Online: Xo | Enhypen (part 2),Fernando Farias,,None,2024-08-13,Additional Disciplines
ILoveDance,12:30:00,Online: Online: Xo | Enhypen (part 2),Fernando Farias,,None,2024-08-13,Additional Disciplines
ILoveDance,14:00:00,Online: Online: Supernatural | Newjeans (part 2),Maylin Ramos,,None,2024-08-13,Additional Disciplines
ILoveDance,15:30:00,Online: Online: Rockstar | Lisa (part 2),Winnie Chung,,None,2024-08-13,Additional Disciplines
Mark Morris,09:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Mark Morris,10:15:00,,Jack *goode,,None,2024-08-13,Additional Disciplines
Mark Morris,19:00:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,19:15:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,14:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Mark Morris,14:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Mark Morris,18:00:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,19:30:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,10:15:00,,Ryan *wolfe,,None,2024-08-13,Additional Disciplines
Mark Morris,18:30:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,19:30:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,18:00:00,Open Level Pilates,1 Hour,,None,2024-08-13,Additional Disciplines
Mark Morris,18:15:00,Zumba,1 Hour,,None,2024-08-13,Additional Disciplines
Mark Morris,10:15:00,,Allen *fogelsanger,,None,2024-08-13,Additional Disciplines
Mark Morris,15:00:00,,15 Minutes,,None,2024-08-13,Additional Disciplines
Mark Morris,19:00:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,19:00:00,,,,None,2024-08-13,Additional Disciplines
Mark Morris,18:30:00,,15 Minutes,,None,2024-08-13,Additional Disciplines
Peridance,11:00:00,,30 Minutes,,None,2024-08-13,Additional Disciplines
Peridance,14:30:00,,,,None,2024-08-13,Additional Disciplines
Peridance,14:30:00,,,,None,2024-08-13,Additional Disciplines
Peridance,16:00:00,,,,None,2024-08-13,Additional Disciplines
