Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Adv Beg Ballet,Luis Villar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18320&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Steps,09:00:00,Int Ballet,Cave,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147082816&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7977&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
BDC,09:15:00,All Levels Pilates,Lauren Weinberg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18302&classDate=10/19/2023&clsLoc=1,2023-10-19,Additional Disciplines
ILD NJ,09:30:00,Kpop Diet Dance,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8620&classDate=10/19/2023&clsLoc=1,2023-10-19,Additional Disciplines
Peridance,09:30:00,Open Ballet,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6672&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Freemantle (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086997&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Peridance,10:00:00,Open Dance Theater,Cancelled Today,none,2023-10-19,Theater
Peridance,10:00:00,Adv Ballet,Elizabeth Ferrell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Gibney,10:00:00,Super Chill Ballet,Doron Perk,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12810&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Ballet Arts,10:00:00,Open Level Ballet,Julie Voshell (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2372&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
BAE,10:00:00,Intro To Ballet,Marsha Knight,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7932&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
Mark Morris,10:00:00,Beg Ballet,Tristan *Grannum,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5577&classDate=10/19/2023&clsLoc=1,2023-10-19,Ballet
