Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Deja Vu | Txt Part 1,Regina Lustre,none
ILD NJ,19:30:00,Magnetic | Illit Part 1,Regina Lustre,none
ILD NJ,19:30:00,Smoothie | Nct Dream Part 1,Ness Martinez,none
