Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:30 am  EDT,none,Virtual 90 Adv/Beg Ballet,"Sims, L.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,none,Virtual 90 Int/Adv Pro Ballet,Lawrence (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:00 am  EDT,none,Virtual 90 Adv Pro Ballet,Beloserkovsky,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,none,Virtual 90 Adv/Int Ballet,Saund,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,none,Virtual 90 Rommett Floor Barre,Wesley,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,none,Virtual 90 Beg Ballet,Kemezis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,none,Virtual 90 Int Ballet,Loh (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:00 pm  EDT,none,Virtual 90 Beg Jazz,Bufferd,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,none,Virtual 90 Int Jazz,Pierlon,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,none,Virtual 90 Adv/Beg Modern/Horton,Maffei,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088058&classDate=10/14/2023&clsLoc=1,Virtual Spotlight: Int/Adv Contemporary,Guy,Steps on Broadway,2 hours
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147088068&classDate=10/14/2023&clsLoc=1,Virtual Spotlight: Int/Adv Latin Fusion,"Salgado, L.",Steps on Broadway,2 hours
Steps on Broadway,5:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082548&classDate=10/14/2023&clsLoc=1,Virtual 90 Beg Hip Hop,"Smith, C.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,none,Virtual 60 Pilates Mat,Cummings,Steps on Broadway,1 hour
Steps on Broadway,11:00 am  EDT,none,Virtual 90 Int Tap,Kameda (3),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:00 pm  EDT,none,Virtual 90 Basic Tap,Scrivens (4),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,none,Virtual 90 Beg Tap,Ikegaya,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,none,Virtual 90 Int/Adv Broadway Tap,Wockenfuss,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084801&classDate=10/14/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,MacDonald,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084800&classDate=10/14/2023&clsLoc=1,Virtual 90 Adv/Int Tap,MacDonald,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,none,Virtual 90 Adv/Int Theater Jazz,Leggio,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085047&classDate=10/14/2023&clsLoc=1,Virtual 90 Int Theater Jazz,Darlington (5),Steps on Broadway,1 hour & 30 minutes
