Studio,Start time,,Classes,Teacher,Duration
Sass Class,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=33&classId=402&classDate=4/15/2024&clsLoc=1,LIVESTREAM | Sass Foundations: Sexy Stilettos®,Breanna (1),1 hour
Sass Class,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=33&classId=445&classDate=4/15/2024&clsLoc=1,LIVESTREAM | Sexy Stilettos®,Breanna (2),1 hour
