Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4PM,beginner aCRO ,unavailable, Kristi
Gramercy Studios,5:30pm,adv. beginner contemporary fusion ,unavailable, yurie
Gramercy Studios,7pm,adv. beginner choreo ,unavailable, Joanna
Gramercy Studios,8:30pm,open level reggaeton fusion ,unavailable, nando
