Studio,Start time,Classes,Instructor,Sign up
ILD NYC,12:00:00,Drama | Aespa Part 1,Eunice Shin,none
ILD NYC,13:30:00,God Of Music | Seventeen Part 1,Maylin Ramos,none
ILD NYC,15:00:00,Lalalala | Stray Kids Part 1,Ying Dong,none
