Studio,Time,Classes,Instructor,Sign up,Date,Style
Steps,09:00:00,Open Level Yoga,Conway,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087982&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Mark Morris,09:00:00,Open Level Pilates,Ellie *Kusner,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5536&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
BDC,09:00:00,Basic Ballet,Ted Keener,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18370&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BDC,09:00:00,Adv Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18329&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7980&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BDC,09:15:00,Stretch & Strengthen,Emma Preiss (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18212&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Steps,09:30:00,Beg Ballet,Kemezis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086214&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2375&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Fairchild (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087010&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,10:00:00,Adv/Int Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087011&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BAE,10:00:00,Intro To Ballet,Sean Kelly (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7934&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Gibney,10:00:00,Contemp,Thryn Saxon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12883&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Gibney,10:00:00,Klein Technique Dance/Movement Class At 280,Barbara Mahler,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12612&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Gibney,10:00:00,Gaga/People At 280,Navarra Novy-Williams,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12676&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Gibney,10:00:00,Ballet,Nina Goldman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12894&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Taylor School,10:00:00,Master Class Series,Grace Whitworth (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3604&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,10:00:00,Ballet Workout,Stephan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087023&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Peridance,10:00:00,Open Simonson Jazz,Leann Gioia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6751&classDate=9/29/2023&clsLoc=1,2023-09-29,Jazz
Peridance,10:00:00,Int Contemp,Guanglei Hui,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6750&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BAE,10:00:00,Mat Pilates Class,Angelina Salama (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7906&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Peridance,10:00:00,Adv Ballet,Igal Perry,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Cori Kresge *Cunningham  (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BDC,10:30:00,Beg Hip-Hop,AntBoogie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18175&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
BDC,10:30:00,Beg Ballet,Michele Moreno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18124&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BDC,10:30:00,Adv Beg Tap,Madison Hilligoss,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18377&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
BDC,10:30:00,Basic Contemp,Blue,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18264&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BDC,10:30:00,Basic Theater,Morgan Rose,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18151&classDate=9/29/2023&clsLoc=1,2023-09-29,Theater
Peridance,10:30:00,Open Zena Rommett Floor-Barre,LuAnn Leonard,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6148&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,11:00:00,Adv/Beg Broadway Tap,Black,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085532&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2282&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,11:15:00,Adv/Beg Contemp Modern,"Reed, B.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085600&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Peridance,11:30:00,Int Contemp Release,Wesley Ensminger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5519&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BAE,11:30:00,Basic Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7948&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BAE,11:30:00,Int Ballet,Elizabeth Walker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7998&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087012&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Peridance,11:30:00,Beg House,Huu Rock,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6752&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
Steps,11:45:00,Adv/Int Ballet,Kunikova,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087013&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18105&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,12:00:00,Pilates Mat,Ginn (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087913&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Gibney,12:00:00,Contemp/Modern,Oliver Steele,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12849&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BDC,12:00:00,Adv Beg Contemp Lyrical,Moriah Markowitz (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18085&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BDC,12:00:00,Beg Jazz Funk,Chio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18161&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
BDC,12:00:00,Basic Tap,Jill Kenney,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18114&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
Mark Morris,12:00:00,Beg/Int Broadway Jazz,Avital Asuleen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=9/29/2023&clsLoc=1,2023-09-29,Theater
BDC,12:00:00,Adv Beg Theater,Amanda LaMotte,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18268&classDate=9/29/2023&clsLoc=1,2023-09-29,Theater
Steps,12:30:00,Beg/Int Jazz,Leggio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084595&classDate=9/29/2023&clsLoc=1,2023-09-29,Jazz
Steps,12:45:00,Int Broadway Tap,Black,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085606&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
Peridance,13:00:00,Open Gyrokinesis,Naoko Moriyama-Robbins,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6781&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Peridance,13:00:00,Beg Waacking,Princess Lockerooo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
Peridance,13:00:00,Int Graham,Caterina Rago,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Peridance,13:00:00,Adv Contemp,Elisabetta Minutoli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1129&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,13:00:00,Int Theater Dance,Culbreath,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087710&classDate=9/29/2023&clsLoc=1,2023-09-29,Theater
Steps,13:15:00,Adv/Int Theater Jazz,"Sullivan, S.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087026&classDate=9/29/2023&clsLoc=1,2023-09-29,Theater
BDC,13:30:00,Beg Contemp,Michaela McGowan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18171&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
BDC,13:30:00,Basic Ballet,Joy Karley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17565&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,13:30:00,Lastics Stretch,Torres,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087024&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
BDC,13:30:00,Int Tap,Jill Kenney,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18115&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
Steps,13:30:00,Int Jazz,"Sayampol, Plu",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087018&classDate=9/29/2023&clsLoc=1,2023-09-29,Jazz
BDC,13:30:00,Adv Beg Jazz,Sheila Barker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18141&classDate=9/29/2023&clsLoc=1,2023-09-29,Jazz
BDC,13:30:00,Adv Beg Hip-Hop,AntBoogie (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18208&classDate=9/29/2023&clsLoc=1,2023-09-29,Street/Choreography
Gibney,14:00:00,Melt Method At 280,Claudia Brown,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12925&classDate=9/29/2023&clsLoc=1,2023-09-29,Additional Disciplines
Peridance,14:30:00,Beg Contemp Floorwork,Andrea Farley Shimota,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5441&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Peridance,14:30:00,Open Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=9/29/2023&clsLoc=1,2023-09-29,World
Steps,14:30:00,Basic Graham Based Modern,Poulis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087437&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
Steps,14:30:00,Int Ballet,Froman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087880&classDate=9/29/2023&clsLoc=1,2023-09-29,Ballet
Steps,14:30:00,Int/Adv Rep Tap,Schwab,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085608&classDate=9/29/2023&clsLoc=1,2023-09-29,Tap
Peridance,14:30:00,Adv Contemp,Brice Mousset,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6802&classDate=9/29/2023&clsLoc=1,2023-09-29,Contemporary/Modern
