Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,7:30 pm  EDT,none,Afro-Brazilian and Samba [All Levels],Cancelled Today,1 hour & 30 minutes
Cumbe Dance Center,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3995&classDate=9/13/2023&clsLoc=1,Congolese Dance and Drum [All Levels],Andoche Loubaki,1 hour & 30 minutes
Cumbe Dance Center,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4157&classDate=9/13/2023&clsLoc=1,Spiritual Movement - Through Praise Dance,Wallington-Taylor,1 hour & 30 minutes
