Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,none,IN-PERSON: Adv Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Adv Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Int CONTEMPORARY JAZZ with Ashley Lynne King,Ashley Lynne King,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Basic JAZZ with Heather Rigg,Joey Tierno (1),Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Int Adv THEATER with Karla Puno Garcia,Karla Puno Garcia,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Adv Beg TAP with Doug Shankman,Sheila Pomroy (2),Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Beg STREET JAZZ with Carlos Neto,Elodie Dufroux (4),Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Int BALLET with Benjamin Briones,Luis Villar (5),Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18233&classDate=11/26/2023&clsLoc=1,IN-PERSON: Basic BALLET with Deanna Doyle,Deanna Doyle,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18356&classDate=11/26/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Elodie Dufroux,Elodie Dufroux,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18347&classDate=11/26/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Eureka Nakano Grimes,Eureka Nakano Grimes,Studio 4,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18186&classDate=11/26/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Q,Chris Palacio (7),Studio 5,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18601&classDate=11/26/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Alex Mitchell,Alex Mitchell,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18628&classDate=11/26/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ with Tracie Stanfield,Tracie Stanfield,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18652&classDate=11/26/2023&clsLoc=1,IN-PERSON: Beg HEELS with Mishay Petronelli,Mishay Petronelli,Studio 5,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,none,IN-PERSON: All Levels YOGA AND MEDITATION with Renata Bonar,Renata Bonar,Studio 4,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Adv Beg TAP with Nicole Billow,Nicole Billow,Studio 5,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Beg THEATER with Morgan Rose,Canceled Today,none,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Adv Beg BALLET with Cara Leggio,Canceled Today,none,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Beg TAP with Avital Ausuleen,Avital Asuleen,Studio B,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Int LYRICAL with Shannon Atkins,Shannon Atkins,Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Beg JAZZ with Heather Rigg,Joey Tierno (3),Studio 3,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Int Adv THEATER with Harry Francis,Harry Francis,Studio 4,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18164&classDate=11/26/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18287&classDate=11/26/2023&clsLoc=1,IN-PERSON: Basic TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18605&classDate=11/26/2023&clsLoc=1,IN-PERSON: Int Adv JAZZ TECHNIQUE with Harry Francis,Harry Francis,Studio 4,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18298&classDate=11/26/2023&clsLoc=1,IN-PERSON: Basic HEELS with Courtney Sauls,Sissa Strain (6),Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18288&classDate=11/26/2023&clsLoc=1,IN-PERSON: Beg TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18253&classDate=11/26/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Gina Menichino,Alexa Luke (8),Studio A,1 hour &30 minutes
