Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,11:00 am EST,none,IN-STUDIO Pilates Fusion,Olivia Bowman-Jackson,Studio 1B,1 hour
Ailey Studios,1:00 pm EST,none,IN-STUDIO Abs Beg Hip-Hop,Aaron Thomas,Studio 1C,1 hour &30 minutes
Ailey Studios,1:30 pm EST,none,IN-STUDIO Beginner Horton,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,2:00 pm EST,none,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 2B,1 hour &30 minutes
Ailey Studios,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824745&classDate=11/26/2023&clsLoc=1,IN-STUDIO Beginner West African,Vado Diomande,Studio 1A,1 hour &30 minutes
Ailey Studios,10:00 am EST,none,IN-STUDIO Zumba Fitness,Tatiana Maya,Studio 1A,1 hour
Ailey Studios,12:00 pm EST,none,IN-STUDIO Adv Beg Contemporary,Cancelled Today,none,1 hour &30 minutes
Ailey Studios,1:00 pm EST,none,IN-STUDIO Modern Afro-Cuban,Noibis Licea,Studio 2A,1 hour &30 minutes
Ailey Studios,2:00 pm EST,none,IN-STUDIO Beginner Contemporary,Shaina McGregor,Studio 1B,1 hour &30 minutes
Ailey Studios,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824715&classDate=11/26/2023&clsLoc=1,IN-STUDIO Afro'Dance,Angel Kaba,Studio 1C,1 hour &30 minutes
