Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=3747&classDate=3/22/2024&clsLoc=1,Dance Cardio & Conditioning,Margaret Fiske,none,none,1 hour
Taylor School,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3650&classDate=3/22/2024&clsLoc=1,Master Class Series,Annmaria Mazzini (5),none,Mal Stein,1 hour &30 minutes
