Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17735&classDate=9/17/2023&clsLoc=1,IN-PERSON: Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 1,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17883&classDate=9/17/2023&clsLoc=1,IN-PERSON: Adv Beg STREET STYLES with Niki Saludez,Niki Saludez,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17807&classDate=9/17/2023&clsLoc=1,IN-PERSON: Int TAP with Kat Ponza,Madison Hilligoss (1),Studio B,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17763&classDate=9/17/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Ginger Cox,Ginger Cox,Studio A,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17817&classDate=9/17/2023&clsLoc=1,IN-PERSON: Int Adv THEATER with Karla Puno Garcia,Alison Solomon (2),Studio 5,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17648&classDate=9/17/2023&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Ness Martinez,Ness Martinez,Studio 5,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16887&classDate=9/17/2023&clsLoc=1,IN-PERSON: Basic JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17699&classDate=9/17/2023&clsLoc=1,IN-PERSON: Basic BALLET with Benjamin Briones,Benjamin Briones,Studio 1,1 hour & 30 minutes
Broadway Dance Center,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16878&classDate=9/17/2023&clsLoc=1,IN-PERSON: Basic TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour & 30 minutes
Broadway Dance Center,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17531&classDate=9/17/2023&clsLoc=1,IN-PERSON: Int THEATER with Marjorie Failoni,Marjorie Failoni,Studio A,1 hour & 30 minutes
Broadway Dance Center,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17743&classDate=9/17/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour & 30 minutes
Broadway Dance Center,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18477&classDate=9/17/2023&clsLoc=1,IN-PERSON: All Levels POPPING with Big Mike,Big Mike,Studio 3,1 hour & 30 minutes
Broadway Dance Center,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16881&classDate=9/17/2023&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY FUSION with Maleek Washington,Waverly Fredericks (3),Studio A,1 hour & 30 minutes
Broadway Dance Center,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17778&classDate=9/17/2023&clsLoc=1,IN-PERSON: Int TAP with Dario Natarelli,Dario Natarelli,Studio B,1 hour & 30 minutes
Broadway Dance Center,5:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17802&classDate=9/17/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP FOUNDATIONS with Ms Vee,Ms Vee,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17657&classDate=9/17/2023&clsLoc=1,IN-PERSON: Adv Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Studio A,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17512&classDate=9/17/2023&clsLoc=1,IN-PERSON: Beg THEATER with Morgan Rose,Morgan Rose,Studio 5,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17569&classDate=9/17/2023&clsLoc=1,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio 4,1 hour & 30 minutes
