Studio,Start time,Sign up,Classes,Instructor
Modega,5:00 PM EDT • (84 min),https://sutrapro.com/modega/checkout/F2JxhnV0dVCQXwfE3Vvu,Int./Adv. Choreography,Carlin Dixon
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/H55lVqmqXw2b7N51X0RA,All Levels Hip Hop,"Quilan ""Cue"" Arnold"
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/2HuKravBHo7u2AtrapIl,Beg./Adv. Beginner Choreography,Cole McNamee
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/tA8Cx1zQ4azLoAsRqLLS,All Levels Breaking,Static
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/dkZTjTSjzPtrY8l4Ew46,Int./Adv. Choreography,Esosa Oviasu
Modega,9:30 PM EDT • (120 min),https://sutrapro.com/modega/checkout/mqV2jvDLKJEjjppppbxl,Open Breaking Session,Static
