Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,"6:00 pm  EDT
    LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8399&classDate=9/27/2023&clsLoc=1,Online: Killin Me Good | JIHYO (Part 4),Eunice Shin,none,1 hour & 20 minutes
ILoveDance,"7:30 pm  EDT
    LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=8382&classDate=9/27/2023&clsLoc=1,Online: Fast Forward | SOMI (Part 4),Maylin Ramos,none,1 hour & 20 minutes
