Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,9:00 am  EDT,none,ONLINE: Vinyasa Yoga,Cancelled Today,none,1 hour
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146825022&classDate=9/27/2023&clsLoc=1,ONLINE: Beginner Contemporary,Linda Celeste Sims,none,1 hour & 30 minutes
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146825038&classDate=9/27/2023&clsLoc=1,ONLINE: Zumba,Carlos Chavez (1),none,1 hour
