Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18155&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18569&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18152&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg THEATER with Morgan Rose,Morgan Rose,Studio 5,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18650&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg BROADWAY TAP with Deanna Doyle,Deanna Doyle,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18222&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Doug Shankman,Sheila Pomroy (1),Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18219&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg STREET JAZZ with Carlos Neto,Carlos Neto,Studio 5,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18164&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18287&classDate=12/10/2023&clsLoc=1,IN-PERSON: Basic TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18347&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Eureka Nakano Grimes,Eureka Nakano Grimes,Studio 4,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18186&classDate=12/10/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Q,Q,Studio 5,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18601&classDate=12/10/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Alex Mitchell,Alex Mitchell,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18640&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg HEELS with Dan Lai,Dan Lai,Studio 5,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18129&classDate=12/10/2023&clsLoc=1,IN-PERSON: All Levels TUTTING with Billy Cohen,Billy Cohen,Studio 4,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18732&classDate=12/10/2023&clsLoc=1,IN-PERSON: All Levels YOGA AND MEDITATION with Renata Bonar,Renata Bonar,Studio 4,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18182&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18097&classDate=12/10/2023&clsLoc=1,IN-PERSON: Basic JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18236&classDate=12/10/2023&clsLoc=1,IN-PERSON: Int Adv THEATER with Karla Puno Garcia,Karla Puno Garcia,Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18096&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18259&classDate=12/10/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Benjamin Briones,Studio 4,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18233&classDate=12/10/2023&clsLoc=1,IN-PERSON: Basic BALLET with Deanna Doyle,Deanna Doyle,Studio 4,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18356&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Elodie Dufroux,Elodie Dufroux,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18298&classDate=12/10/2023&clsLoc=1,IN-PERSON: Basic HEELS with Courtney Sauls,Courtney Sauls,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18288&classDate=12/10/2023&clsLoc=1,IN-PERSON: Beg TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18253&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Gina Menichino,Gina Menichino,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18579&classDate=12/10/2023&clsLoc=1,IN-PERSON: Adv Beg REGGAETON with David Machicado,David Machicado,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18341&classDate=12/10/2023&clsLoc=1,IN-PERSON: Int Adv TAP with Dario Natarelli,Dario Natarelli,Studio B,1 hour &30 minutes
