Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824782&classDate=12/10/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824825&classDate=12/10/2023&clsLoc=1,IN-STUDIO Pilates Fusion,Olivia Bowman-Jackson,Studio 5A,1 hour
Ailey Studios,1:00 pm EST,none,IN-STUDIO Modern Afro-Cuban,Cancelled Today,none,1 hour &30 minutes
Ailey Studios,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824789&classDate=12/10/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Shaina McGregor,Studio 1B,1 hour &30 minutes
Ailey Studios,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824780&classDate=12/10/2023&clsLoc=1,IN-STUDIO Afro'Dance,Angel Kaba,Studio 1C,1 hour &30 minutes
Ailey Studios,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824829&classDate=12/10/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Tatiana Maya,Studio 5B,1 hour
Ailey Studios,1:00 pm EST,none,IN-STUDIO Abs Beg Hip-Hop,Cancelled Today,none,1 hour &30 minutes
Ailey Studios,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824803&classDate=12/10/2023&clsLoc=1,IN-STUDIO Beginner Horton,Linda Celeste Sims,Studio 1C,1 hour &30 minutes
Ailey Studios,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824796&classDate=12/10/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5A,1 hour &30 minutes
Ailey Studios,3:00 pm EST,none,IN-STUDIO Beginner West African,Cancelled Today,none,1 hour &30 minutes
