Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18769&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,June Chin (1),Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18904&classDate=12/19/2023&clsLoc=1,IN-PERSON: Basic THEATER with Melodye Redding,Melodye Redding,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18109&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio 3,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18691&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18709&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18867&classDate=12/19/2023&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18791&classDate=12/19/2023&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18711&classDate=12/19/2023&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18757&classDate=12/19/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio A,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18202&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with April Cook,April Cook,Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18822&classDate=12/19/2023&clsLoc=1,IN-PERSON: Beg THEATER with Marjorie Failoni,Rebecca Frazier (5),Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18796&classDate=12/19/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Michaela McGowan,Michaela McGowan,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18883&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ with Neil Schwartz,Neil Schwartz,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18808&classDate=12/19/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Deanna Doyle (6),Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18741&classDate=12/19/2023&clsLoc=1,IN-PERSON: Basic BALLET with Sarah Simon Wolff,Deanna Doyle (8),Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18811&classDate=12/19/2023&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY FUSION with Cat Cogliandro,Ali Koinoglou (9),Studio 1,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18669&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg HEELS with Hector Lopez,Hector Lopez,Studio 3,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18080&classDate=12/19/2023&clsLoc=1,IN-PERSON: Basic TAP with Shelby Kaufman,Rashaan James (11),Studio B,1 hour &30 minutes
Broadway Dance Center,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18706&classDate=12/19/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio A,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18840&classDate=12/19/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Miles Keeney,Miles Keeney,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18898&classDate=12/19/2023&clsLoc=1,IN-PERSON: Basic CONTEMPORARY with Lorena Cobos,Lorena Cobos,Studio 3,1 hour &30 minutes
