Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3561&classDate=12/19/2023&clsLoc=1,Professional Level Taylor Modern,Joao Carvalho (2),none,Jakub Wala,1 hour &30 minutes
Taylor School,6:15 pm EST,none,Adult Open Level Modern,Cancelled Today,none,none,1 hour &30 minutes
