Studio,Start time,Classes,Instructor,Length
PJM LIC,6:30 pm,Beg Choreography,Mini Zhang,1 hr 30 min
PJM LIC,8:00 pm,Beg Street Jazz,Joanna Chavez,1 hr 30 min
