Studio,Time,Classes,Instructor,Sign up,Date,Style
BAE,09:00:00,Intro To Ballet,William Waldinger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7801&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BAE,09:00:00,Adv Beg Ballet,Julia Dubno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7847&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BDC,09:00:00,Itp Closed Class,ITP Master Class,none,2023-08-16,Additional Disciplines
Steps,09:00:00,Beg Ballet,Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080412&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2289&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Mark Morris,09:30:00,Open Level Pilates,Cancelled Today,none,2023-08-16,Additional Disciplines
Steps,09:45:00,Int/Adv Pro Ballet,Lawrence (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087095&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BDC,10:00:00,Adv Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17526&classDate=8/16/2023&clsLoc=1,2023-08-16,Street/Choreography
Steps,10:00:00,Adv/Beg Tap,Ponza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087073&classDate=8/16/2023&clsLoc=1,2023-08-16,Tap
Steps,10:00:00,Adv/Int Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087096&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Mark Morris,10:00:00,Adv Ballet,Kelly Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4991&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BDC,10:00:00,Beg Lyrical,Emily Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17734&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
Peridance,10:00:00,Int Contemp,Brandon Coleman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4301&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
Steps,10:00:00,Open Pilates,Ross,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086082&classDate=8/16/2023&clsLoc=1,2023-08-16,Additional Disciplines
BDC,10:00:00,Adv Beg Tap,Dre Torres,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17663&classDate=8/16/2023&clsLoc=1,2023-08-16,Tap
Gibney 280,10:00:00,Contemp At 280,Lily Gelfand,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12888&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
Gibney 280,10:00:00,Pro Level Ballet,Aaron Loux,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12573&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Peridance,10:00:00,Adv Ballet,Shimon Ito (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5459&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Peridance,10:00:00,Open Barre À Terre,Anabella Lenzu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5260&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BDC,10:00:00,Basic Theater,Morgan Rose,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17510&classDate=8/16/2023&clsLoc=1,2023-08-16,Theater
Mark Morris,10:15:00,Cunningham Technique Open Class,Brandon Collwes *Cunningham  (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5059&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
Gibney 280,10:30:00,Bartenieff Fundamentals At 280,Alexandra Beller,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12574&classDate=8/16/2023&clsLoc=1,2023-08-16,Additional Disciplines
BDC,10:30:00,Int Ballet,Jamie Salmon,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17644&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Steps,10:45:00,Adv/Beg Ballet,Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080413&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Steps,11:00:00,Rommett Floor Barre,Moccia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086961&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Ballet Arts,11:00:00,Int Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2419&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BAE,11:00:00,Basic Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7825&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Steps,11:15:00,Adv/Beg Jazz,"Frazier, R. (6)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085556&classDate=8/16/2023&clsLoc=1,2023-08-16,Jazz
Peridance,11:30:00,Beg Ballet,Martha Chapman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5365&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
BDC,11:30:00,Adv Beg Contemp Lyrical,Tracie Stanfield,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17026&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087003&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Peridance,11:30:00,Adv Ballet,Yinet Fernández (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5378&classDate=8/16/2023&clsLoc=1,2023-08-16,Ballet
Peridance,11:30:00,Int Contemp,Marijke Eliasberg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5509&classDate=8/16/2023&clsLoc=1,2023-08-16,Contemporary/Modern
BDC,11:30:00,Beg Theater,Marjorie Failoni,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17530&classDate=8/16/2023&clsLoc=1,2023-08-16,Theater
