Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8851&classDate=12/7/2023&clsLoc=1,In-StudioQ: BATTER UP | BABYMONSTER (Part 1),Winnie Chung,Flushing,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8871&classDate=12/7/2023&clsLoc=1,In-StudioQ: Standing Next To You | JungKook (Part 1),Ying Dong,Flushing,1 hour &20 minutes
