Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4pm,open level dance conditioning ,unavailable, Kristi
Gramercy Studios,5:30pm,intro to floor-work ,unavailable, yurie
Gramercy Studios,7pm,adv. beginner choreo ,unavailable, Joanna
Gramercy Studios,8:30pm,Open level reggaeton fusion ,unavailable, Nando
