Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6672&classDate=12/7/2023&clsLoc=1,Open Ballet,Kathy Sullivan,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=12/7/2023&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Raisa Umanskaya,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6827&classDate=12/7/2023&clsLoc=1,Inter Contemporary,Assaf Salhov,none,Peridance Center,1 hour &30 minutes
Peridance,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6673&classDate=12/7/2023&clsLoc=1,Open Pointe,Kathy Sullivan,none,Peridance Center,30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5526&classDate=12/7/2023&clsLoc=1,Adv Contemporary,Kristin Sudeikis (1),none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6722&classDate=12/7/2023&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6745&classDate=12/7/2023&clsLoc=1,Inter Graham,Caterina Rago,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=12/7/2023&clsLoc=1,Open Yoga,Sarah Iguchi (2),none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=12/7/2023&clsLoc=1,Adv Contemporary,Max Stone,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6186&classDate=12/7/2023&clsLoc=1,Inter Ballet,Kate Loh,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5452&classDate=12/7/2023&clsLoc=1,Open Heels,Hector Invictus Lopez,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=12/7/2023&clsLoc=1,Inter Choreography,Tomoko Ishikawa,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7016&classDate=12/7/2023&clsLoc=1,Open House Drills | MOPTOP,Cebo Carr,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=12/7/2023&clsLoc=1,Open Ballet/Pointe,Dianna Warren,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=12/7/2023&clsLoc=1,Open House,Sekou Heru,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=12/7/2023&clsLoc=1,Adv Contemporary,Dava Huesca (3),none,Peridance Center,1 hour &30 minutes
Peridance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7004&classDate=12/7/2023&clsLoc=1,Adv Choreography,Eric Delgado,none,none,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6748&classDate=12/7/2023&clsLoc=1,Inter Hip Hop,Dr. Ew,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6719&classDate=12/7/2023&clsLoc=1,Open Old Way Vogue,Archie Burnett,none,Peridance Center,1 hour &30 minutes
