Studio,Time,Classes,Instructor,Sign up,Date,Style
BAE,09:00:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7851&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BAE,09:15:00,Intro To Ballet,Roni Mahler (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7898&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BAE,09:30:00,Int Ballet,Julie Voshell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7896&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2375&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Steps,09:30:00,Beg Ballet,Kemezis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086214&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BAE,09:45:00,Mat Pilates Class,Cancelled Today,none,2023-09-01,Additional Disciplines
Steps,09:45:00,Int/Adv Pro Ballet,Freemantle (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087010&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,10:00:00,Basic Contemp,Blue,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17516&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BDC,10:00:00,Adv Beg Tap,Madison Hilligoss,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17712&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
Gibney,10:00:00,Ballet,Nina Goldman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12894&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,10:00:00,Basic Theater,Morgan Rose,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17511&classDate=9/1/2023&clsLoc=1,2023-09-01,Theater
Mark Morris,10:00:00,Adv Ballet,Kelly Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,10:00:00,Basic Hip-Hop,AntBoogie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17528&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
Peridance,10:00:00,Adv Ballet,Igal Perry,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Gibney,10:00:00,Klein Technique Dance/Movement Class At 280,Cancelled Today,none,2023-09-01,Additional Disciplines
Gibney,10:00:00,Gaga/People At 280,Rotating Gaga Teachers,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12676&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
Peridance,10:00:00,Int Contemp,Jordan Ryder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6210&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
Steps,10:00:00,Adv/Int Ballet,Loh (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087011&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Rotating *Cunningham Faculty,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
Peridance,10:30:00,Open Zena Rommett Floor-Barre,Cancelled Today,none,2023-09-01,Ballet
BDC,10:30:00,Beg Ballet,Michele Moreno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17520&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2282&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Steps,11:00:00,Adv/Beg Broadway Tap,Black,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085532&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
Steps,11:15:00,Adv/Beg Contemp Modern,"Reed, B.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085600&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BAE,11:30:00,Basic Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7829&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,11:30:00,Adv Beg Contemp Lyrical,Canceled Today,none,2023-09-01,Contemporary/Modern
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Peridance,11:30:00,Open Strength Training,Ariel Goussak (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6272&classDate=9/1/2023&clsLoc=1,2023-09-01,Additional Disciplines
BDC,11:30:00,Basic Tap,Emiko Nakagawa (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17533&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
Peridance,11:30:00,Int Contemp Release,Cancelled Today,none,2023-09-01,Contemporary/Modern
BDC,11:30:00,Adv Beg Theater,Canceled Today,none,2023-09-01,Theater
BDC,11:30:00,Beg Jazz Funk,Chio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16945&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087012&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Steps,11:45:00,Adv/Int Ballet,Angelova (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087013&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Gibney,12:00:00,Contemp At 280,Jesse Obremski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12899&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BDC,12:00:00,All Levels Pilates,Canceled Today,none,2023-09-01,Additional Disciplines
Steps,12:00:00,Pilates Mat,Ginn (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087913&classDate=9/1/2023&clsLoc=1,2023-09-01,Additional Disciplines
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17541&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Mark Morris,12:00:00,Beg/Int Broadway Jazz,Avital Asuleen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=9/1/2023&clsLoc=1,2023-09-01,Theater
Steps,12:30:00,Beg/Int Jazz,Zajac (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084595&classDate=9/1/2023&clsLoc=1,2023-09-01,Jazz
PJM,12:30:00,Open Kpop Girl Groups,Joy,none,2023-09-01,Additional Disciplines
Steps,12:45:00,Int Broadway Tap,Black,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085606&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
Steps,13:00:00,Int Theater Dance,Culbreath,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085513&classDate=9/1/2023&clsLoc=1,2023-09-01,Theater
Peridance,13:00:00,Int Ballet,Victoria Vargas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5788&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,13:00:00,Adv Beg Hip-Hop,Geheny Rivera,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17545&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
BDC,13:00:00,Adv Beg Jazz,Sheila Barker,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17973&classDate=9/1/2023&clsLoc=1,2023-09-01,Jazz
Peridance,13:00:00,Int Graham,Lili Tewes (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BDC,13:00:00,Int Theater,Canceled Today,none,2023-09-01,Theater
Peridance,13:00:00,Adv Contemp,Fadi Khoury (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BDC,13:00:00,Int Tap,Canceled Today,none,2023-09-01,Tap
Peridance,13:00:00,Beg Waacking,Princess Lockerooo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1129&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
Steps,13:15:00,Adv/Int Theater Jazz,"Sullivan, S.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087026&classDate=9/1/2023&clsLoc=1,2023-09-01,Theater
Steps,13:30:00,Lastics Stretch,Torres,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087024&classDate=9/1/2023&clsLoc=1,2023-09-01,Additional Disciplines
BDC,13:30:00,Basic Ballet,Canceled Today,none,2023-09-01,Ballet
Steps,13:30:00,Int Jazz,"Sayampol, Plu",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087018&classDate=9/1/2023&clsLoc=1,2023-09-01,Jazz
BDC,13:30:00,Beg Contemp,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17979&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
PJM,14:00:00,Adv Beg Comm Jazz September,Shota Sekiguchi,none,2023-09-01,Jazz
Peridance,14:30:00,Open Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=9/1/2023&clsLoc=1,2023-09-01,World
Peridance,14:30:00,Beg Contemp Floorwork,Cancelled Today,none,2023-09-01,Contemporary/Modern
Steps,14:30:00,Int Ballet,Froman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087880&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,14:30:00,Int Adv Jazz,Debbie Roshe,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17573&classDate=9/1/2023&clsLoc=1,2023-09-01,Jazz
Steps,14:30:00,Int/Adv Rep Tap,Schwab,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085608&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
BDC,14:30:00,Adv Beg House,Huu Rock,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17653&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
BDC,14:30:00,Beg Broadway Tap,Brent McBeth (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17580&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
Steps,14:30:00,Basic Graham Based Modern,Poulis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087437&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
Modega,14:30:00,All Levels Popping,Castro,https://sutrapro.com/modega/checkout/c7zsoFuJolTrmHZB2cKQ,2023-09-01,Street/Choreography
BDC,14:30:00,Int Street Styles,Esosa Oviasu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17775&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
Steps,14:45:00,Beg Theater Dance,"Frazier, R.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085613&classDate=9/1/2023&clsLoc=1,2023-09-01,Theater
PMT,15:00:00,Int Grooves And Execution,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3398&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
Ballet Arts,15:00:00,Adv Beg Ballet,Noriko Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1134&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,15:00:00,Int Ballet,Josh Kolberg (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17784&classDate=9/1/2023&clsLoc=1,2023-09-01,Ballet
BDC,15:00:00,All Levels Acro,Sissa Strain,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17890&classDate=9/1/2023&clsLoc=1,2023-09-01,Additional Disciplines
Steps,15:15:00,Adv/Int Jazz,Ranauro (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087020&classDate=9/1/2023&clsLoc=1,2023-09-01,Jazz
Brickhouse,15:30:00,Street Jazz Int/Adv,Lexie Sahagian (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7719&classDate=9/1/2023&clsLoc=1,2023-09-01,Street/Choreography
PJM,15:30:00,Vogue Femme Basics,Saki,none,2023-09-01,Street/Choreography
Peridance,16:00:00,Int Contemp,Lorena Cobos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6437&classDate=9/1/2023&clsLoc=1,2023-09-01,Contemporary/Modern
BDC,16:00:00,Adv Beg Tap,Dario Natarelli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17776&classDate=9/1/2023&clsLoc=1,2023-09-01,Tap
