Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8214&classDate=8/18/2023&clsLoc=1,In-StudioNJ: In Bloom | ZB1 (Part 3),Ness Martinez,Fort Lee Studio 2,1 hour & 20 minutes
ILoveDance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8203&classDate=8/18/2023&clsLoc=1,In-StudioNJ: Super Shy | NewJeans (Part 3),Min Seon Kim,Fort Lee Studio 1,1 hour & 20 minutes
