Studio,Start time,Classes,Link,Instructor
Gramercy Studios,5:30pm,open level stretch and strength ,unavailable, Sofia
Gramercy Studios,7pm,intermediate/ADV CHOREO ,unavailable, CRISTINA
Gramercy Studios,intermediate,adv. choreo ,unavailable, gio
