Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,"9:00 am  EDT
    LIVE STREAM",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=114&classId=5087&classDate=8/19/2023&clsLoc=1,(Online) Pilates Flow,Lesley Garrison MMDG Dancer (Masks Optional) (10),none,none,1 hour
Mark Morris Dance,"10:00 am  EDT
    LIVE STREAM",none,(Online) Beginner Ballet,Claudia McDonald (Mask Optional) (12),none,none,1 hour & 30 minutes
