0,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
1,   9:30 am  EST,/ASP/res_a.asp?tg=50&classId=2146822993&classDate=3/11/2023&clsLoc=1,ONLINE: Pilates Fusion,Sarita Allen,, 1 hour
2,   10:30 am  EST,/ASP/res_a.asp?tg=50&classId=2146822990&classDate=3/11/2023&clsLoc=1,ONLINE: Masala Bhangra,Sarina Jain,, 1 hour
3,   1:00 pm  EST,/ASP/res_a.asp?tg=50&classId=2146822989&classDate=3/11/2023&clsLoc=1,ONLINE: Beginner Limón,Becky Brown,, 1 hour
4,   10:00 am  EST,/ASP/res_a.asp?tg=50&classId=2146822973&classDate=3/11/2023&clsLoc=1,ONLINE: Absolute Beginner Ballet,Dawn Hillen,, 1 hour
5,   11:30 am  EST,/ASP/res_a.asp?tg=50&classId=2146823001&classDate=3/11/2023&clsLoc=1,ONLINE: Zumba,Richard Martinez,, 1 hour
