Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,Super Shy | Newjeans Part 3,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8156&classDate=8/18/2023&clsLoc=1
ILD NYC,20:00:00,Shhh | Kiss Of Life Part 3,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8165&classDate=8/18/2023&clsLoc=1
