Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,none
ILD Queens,18:00:00,New Jeans | Newjeans Part 2,Eunice Shin,none
ILD Queens,19:30:00,Hard | Shinee Part 2,Christina Ryu,none
