Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,none
ILD Queens,18:00:00,One Spark | Twice Part 1,Eunice Shin,none
ILD Queens,19:30:00,Plot Twist | Tws Part 1,Fernando Farias,none
