Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Do Not Touch | Misamo Part 1,Maylin Ramos,none
ILD NJ,19:30:00,New Dance | Xg Part 1,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8601&classDate=10/2/2023&clsLoc=1
