Studio,Start time,,Classes,Teacher,Room,Duration
Ballet Arts,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2317&classDate=12/10/2023&clsLoc=1,VIRTUAL: YOGA - ALL LEVEL,James Graber,BALLET Arts - VIRTUAL STUDIO,1 hour
Ballet Arts,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2354&classDate=12/10/2023&clsLoc=1,VIRTUAL: ADVANCED BEGINNER Ballet,Yumiko Niimi,Ballet Arts Virtual - 2,1 hour &30 minutes
Ballet Arts,10:00 am EST,none,VIRTUAL: RAISE YOUR VOICE Vocal Training For Dancers,Cancelled Today,none,1 hour
Ballet Arts,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2239&classDate=12/10/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Simon Kazantsev,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2332&classDate=12/10/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Noriko Hara,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2417&classDate=12/10/2023&clsLoc=1,VIRTUAL: POINTE (1 hour),Noriko Hara,BALLET Arts - VIRTUAL STUDIO,1 hour
Ballet Arts,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2285&classDate=12/10/2023&clsLoc=1,VIRTUAL: ADVANCED BEGINNER Ballet,Kenny Larson,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
Ballet Arts,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2398&classDate=12/10/2023&clsLoc=1,VIRTUAL: Missing Link Series,Richard Marsden,BALLET Arts - VIRTUAL STUDIO,1 hour &30 minutes
