Studio,Start time,Sign up,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3562&classDate=9/27/2023&clsLoc=1,Professional Level Taylor Modern,Winston Brown (3),none,Mal Stein,1 hour & 30 minutes
Taylor School,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3596&classDate=9/27/2023&clsLoc=1,Adult Open Level Modern,Joao Carvalho,none,none,1 hour & 30 minutes
