Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7974&classDate=10/11/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7958&classDate=10/11/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Julie Voshell,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7930&classDate=10/11/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Shirley Bassat,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7975&classDate=10/11/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 2,1 hour & 30 minutes
Ballet Academy East,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7915&classDate=10/11/2023&clsLoc=1,IN-STUDIO Gentle Pilates,Wendy Amos,none,Studio 4,1 hour
Ballet Academy East,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7994&classDate=10/11/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Justin Sherwood,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7944&classDate=10/11/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7995&classDate=10/11/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Rosanna Serevalli (5),none,Studio 2,1 hour & 30 minutes
Ballet Academy East,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7976&classDate=10/11/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Selina Chau,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7945&classDate=10/11/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Estelle Botella,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7963&classDate=10/11/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Ashley Carter,none,Studio 1,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7931&classDate=10/11/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Rosanna Serevalli (6),none,Studio 3,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7959&classDate=10/11/2023&clsLoc=1,IN-STUDIO Beginner Ballet,William Waldinger,none,Studio 2,1 hour & 30 minutes
