Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Lalalala | Stray Kids Part 2,Maylin Ramos,none
ILD NJ,19:30:00,Drama | Aespa Part 2,Min Seon Kim,none
