Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am  EDT,none,Open Level Pilates,Calvin A. Rollins II (8),none,none,1 hour
Mark Morris Dance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=10/13/2023&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,10:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=10/13/2023&clsLoc=1,Cunningham Technique Open Class,Jennifer Goggans *Cunningham (Mask Optional) (9),none,Allen *Fogelsanger,1 hour & 30 minutes
Mark Morris Dance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=10/13/2023&clsLoc=1,Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4949&classDate=10/13/2023&clsLoc=1,Beginner Tap,Yuka Kameda (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=3519&classDate=10/13/2023&clsLoc=1,Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=4993&classDate=10/13/2023&clsLoc=1,Open Level West African,Ismael *Kouyate (Mask Optional),none,none,1 hour & 30 minutes
