Studio,Start time,Sign up,Classes,Teacher,Accompanist,Location,Duration
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=10/13/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Raisa Umanskaya,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6750&classDate=10/13/2023&clsLoc=1,Inter Contemporary,Guanglei Hui,none,Peridance Center,1 hour & 30 minutes
Peridance,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6148&classDate=10/13/2023&clsLoc=1,Open Zena Rommett Floor-Barre ®,LuAnn Leonard,none,Peridance Center,1 hour
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=10/13/2023&clsLoc=1,Beg Ballet,Yuka Kawazu,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6752&classDate=10/13/2023&clsLoc=1,Beg House,Huu Rock,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6842&classDate=10/13/2023&clsLoc=1,Inter Ballet,Victoria Vargas,Raisa Umanskaya,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=10/13/2023&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=10/13/2023&clsLoc=1,Beg Waacking,Princess Lockerooo,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=10/13/2023&clsLoc=1,Inter Graham,Caterina Rago,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6781&classDate=10/13/2023&clsLoc=1,Open Gyrokinesis®,Naoko Moriyama-Robbins,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6802&classDate=10/13/2023&clsLoc=1,Adv Contemporary,Kristalyn Gill (1),none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5441&classDate=10/13/2023&clsLoc=1,Beg Contemporary Floorwork,Guest Artist (2),none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=10/13/2023&clsLoc=1,Open Dancehall,Korie Genius,none,Peridance Center,1 hour & 30 minutes
Peridance,3:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6676&classDate=10/13/2023&clsLoc=1,Inter Choreography,Ayumu Imazu,none,Peridance Center,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6754&classDate=10/13/2023&clsLoc=1,Inter Contemporary,Brianna Mercado,none,Peridance Center,1 hour & 30 minutes
Peridance,5:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6803&classDate=10/13/2023&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour & 15 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5444&classDate=10/13/2023&clsLoc=1,Beg Choreography,Bo Belza,none,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5442&classDate=10/13/2023&clsLoc=1,Beg Foundations of Hip Hop,Masumi Kambayashi (3),none,Peridance Center,1 hour & 30 minutes
Peridance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6677&classDate=10/13/2023&clsLoc=1,Open Haitian,Peniel Guerrier | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5613&classDate=10/13/2023&clsLoc=1,Beg Salsa Partnering - Beyond the Basics,Baila Society,none,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6755&classDate=10/13/2023&clsLoc=1,Open Old Way Vogue,Paris Hairston,none,Peridance Center,1 hour & 30 minutes
Peridance,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6678&classDate=10/13/2023&clsLoc=1,Open Kutiro African Dance,Malang Bayo | DDC,none,Peridance Center,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6679&classDate=10/13/2023&clsLoc=1,Inter House,Tony McGregor (4),none,Peridance Center,1 hour & 30 minutes
