Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,none,Ed Dept PARTNERING with Talia Castro-Pozo & Christian Galvis,ITP Master Class,CTP,1 hour & 30 minutes
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18157&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18290&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Dre Torres,Danny Gardner (1),Studio B,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18231&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int BALLET with Deanna Doyle,Deanna Doyle,Studio A,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18104&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio A,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18374&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Ian Klein,Ian Klein,Studio 4,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18221&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg THEATER TAP with Doug Shankman,Doug Shankman,Studio B,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18207&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Geheny Rivera,Geheny Rivera,Studio 3,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18111&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg JUMPS AND TURNS with Eric Campros,Ashley Lynne King (2),Studio 4,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18102&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int THEATER with Lizz Picini,Ross Thompson (3),Studio 5,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18179&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Brent McBeth,Brent McBeth,Studio B,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18232&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic BALLET with Deanna Doyle,Deanna Doyle,Studio 4,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18396&classDate=9/20/2023&clsLoc=1,IN-PERSON: All Levels VOICE with Eric Fotre Leach,Eric Fotre Leach,Studio 4,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18174&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP with AntBoogie,AntBoogie,Studio 3,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18383&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int THEATER with Tanner Lane,Tanner Lane,Studio 5,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18333&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Mark Albrecht,Mike Camire (4),Studio B,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18138&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int Adv THEATER with Josh Assor,Josh Assor,Studio 5,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18218&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg STREET JAZZ/HIP-HOP with Carlos Neto,Carlos Neto,Studio 5,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18185&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Q,Q,Studio 3,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18330&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int Adv TAP with Gwen Potter,Mike Camire (5),Studio B,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18276&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv CONTEMPORARY FUSION with Marinda Davis,Marinda Davis,Studio A,1 hour & 30 minutes
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18372&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg BALLET with Ted Keener,Ted Keener,Studio A,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18328&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18150&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic THEATER with Morgan Rose,Morgan Rose,Studio 5,1 hour & 30 minutes
Broadway Dance Center,11:00 am  EDT,none,Ed Dept Company Ballet,ProSem Master,CTP,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18084&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY LYRICAL with Tracie Stanfield,Tracie Stanfield,Studio 3,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18160&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour & 30 minutes
Broadway Dance Center,12:30 pm  EDT,none,Ed Dept Company Ballet,ProSem Master,CTP,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18280&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic TAP with Avital Asuleen,Avital Asuleen,Studio B,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18343&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY FUSION with Camryn Brothers,Camryn Brothers,Studio A,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18140&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ with Sheila Barker,Sheila Barker,Studio A,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18199&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio 3,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18285&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int STREET JAZZ with Bo Park,Bo Park,Studio 5,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18088&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg BALLET with Dorit Koppel,Dorit Koppel,Studio A,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18119&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int TAP with Ray Hesselink,Ray Hesselink,Studio B,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18131&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg COMMERCIAL JAZZ with Debbie Wilson,Debbie Wilson,Studio A,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18256&classDate=9/20/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP FOUNDATIONS with Ms Vee,Ms Vee,Studio 3,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18176&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY JAZZ with Julia Kane,Julia Kane,Studio 4,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18387&classDate=9/20/2023&clsLoc=1,IN-PERSON: Basic AFRO'DANCE with Angel Kaba,Angel Kaba,Studio 4,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18262&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY JAZZ with Nijawwon Matthews,Nijawwon Matthews,Studio A,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18301&classDate=9/20/2023&clsLoc=1,IN-PERSON: Adv Beg HEELS with Yvonne Marie Sain,Yvonne Marie Sain,Studio 3,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18167&classDate=9/20/2023&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with David Thomas,David Thomas,Studio 5,1 hour & 30 minutes
