Steps,10:00:00,Beg Jazz,Bufferd,none,2023-12-14,Jazz
BDC,13:30:00,Beg Jazz,Heather Rigg,none,2023-12-14,Jazz
Steps,14:30:00,Int Comm Jazz,Gold,none,2023-12-14,Jazz
Steps,15:00:00,Adv/Int Jazz,Roshe,none,2023-12-14,Jazz
PMT,16:30:00,Adv. Beg. Jazz,Michelle Barber,none,2023-12-14,Jazz
Steps,16:45:00,Adv/Beg Jazz Across The Floor,Swanson,none,2023-12-14,Jazz
BDC,19:30:00,All Levels Burlesque Jazz,Tony Guerrero,none,2023-12-14,Jazz
Steps,20:00:00,Int/Adv Jazz,Puno Garcia,none,2023-12-14,Jazz
Steps,20:30:00,Int/Adv Jazz,Pearce,none,2023-12-14,Jazz
