Studio,Start time,Sign up,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3563&classDate=11/2/2023&clsLoc=1,Professional Level Taylor Modern,Annmaria Mazzini (4),none,Tom Farrell,1 hour & 30 minutes
Taylor School,6:00 pm  EDT,none,Adult Open Ballet,Cancelled Today,none,none,1 hour & 30 minutes
