Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18320&classDate=11/2/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio A,1 hour & 30 minutes
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18467&classDate=11/2/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Jenifer Dillow,Jenifer Dillow,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18110&classDate=11/2/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18309&classDate=11/2/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP with Ness Martinez,Ness Martinez,Studio B,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18091&classDate=11/2/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Dorit Koppel,Dorit Koppel,Studio A,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18379&classDate=11/2/2023&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 3,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18494&classDate=11/2/2023&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio 4,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,none,IN-PERSON: All Levels VOICE with Eric Fotre Leach,Canceled Today,none,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18095&classDate=11/2/2023&clsLoc=1,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18317&classDate=11/2/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Miles Keeney,Miles Keeney,Studio 5,1 hour & 30 minutes
