Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824722&classDate=11/2/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour & 30 minutes
Ailey Studios,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824769&classDate=11/2/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824747&classDate=11/2/2023&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm  EDT,none,IN-STUDIO Beginner Heels,Cancelled Today,none,1 hour & 30 minutes
Ailey Studios,7:00 pm  EDT,none,IN-STUDIO Beginner Horton,Cancelled Today,none,1 hour & 30 minutes
Ailey Studios,6:00 pm  EDT,none,IN-STUDIO Pilates Fusion,Cancelled Today,none,1 hour
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824706&classDate=11/2/2023&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Yancy Greene,Studio 5A,1 hour & 30 minutes
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824725&classDate=11/2/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Christopher Jackson,Studio 2B,1 hour & 30 minutes
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824736&classDate=11/2/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour & 30 minutes
Ailey Studios,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825232&classDate=11/2/2023&clsLoc=1,IN-STUDIO Beginner Broadway Dance,Matthew Johnson Harris,Studio 1B,1 hour & 30 minutes
