Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=1/5/2024&clsLoc=1,Adv Ballet,Nick Korkos (1),Jonathan Rich,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6750&classDate=1/5/2024&clsLoc=1,Inter Contemporary,Guanglei Hui,none,Peridance Center,1 hour &30 minutes
Peridance,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6148&classDate=1/5/2024&clsLoc=1,Open Zena Rommett Floor-Barre ®,LuAnn Leonard,none,Peridance Center,1 hour
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=1/5/2024&clsLoc=1,Beg Ballet,Yuka Kawazu,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6752&classDate=1/5/2024&clsLoc=1,Beg House,Huu Rock,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5519&classDate=1/5/2024&clsLoc=1,Inter Contemporary Release,Wesley Ensminger,none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6976&classDate=1/5/2024&clsLoc=1,Open Yoga,Sarah Iguchi,none,Peridance Center,1 hour
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=1/5/2024&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=1/5/2024&clsLoc=1,Beg Waacking,Princess Lockerooo,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=1/5/2024&clsLoc=1,Inter Graham,Caterina Rago,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6781&classDate=1/5/2024&clsLoc=1,Open Gyrokinesis®,Mutsuyo Isaacs (2),none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6802&classDate=1/5/2024&clsLoc=1,Adv Contemporary,Brice Mousset,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5441&classDate=1/5/2024&clsLoc=1,Beg Contemporary Floorwork,Andrea Farley Shimota,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=1/5/2024&clsLoc=1,Open Dancehall,Korie Genius,none,Peridance Center,1 hour &30 minutes
Peridance,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6676&classDate=1/5/2024&clsLoc=1,Inter Choreography,Ayumu Imazu,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6754&classDate=1/5/2024&clsLoc=1,Inter Contemporary,Alexa Luke (3),none,Peridance Center,1 hour &30 minutes
Peridance,5:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6940&classDate=1/5/2024&clsLoc=1,Open Afrobeats,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &15 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5444&classDate=1/5/2024&clsLoc=1,Beg Choreography,Bo Belza,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5442&classDate=1/5/2024&clsLoc=1,Beg Foundations of Hip Hop,"Tomoe ""Beasty"" Carr",none,Peridance Center,1 hour &30 minutes
Peridance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6677&classDate=1/5/2024&clsLoc=1,Open Haitian,Peniel Guerrier | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5613&classDate=1/5/2024&clsLoc=1,Beg Salsa Partnering - Beyond the Basics,Baila Society,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6755&classDate=1/5/2024&clsLoc=1,Open Old Way Vogue,Paris Hairston,none,Peridance Center,1 hour &30 minutes
Peridance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6678&classDate=1/5/2024&clsLoc=1,Open Kutiro African Dance,Malang Bayo | DDC,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6679&classDate=1/5/2024&clsLoc=1,Inter House,Ejoe Wilson,none,Peridance Center,1 hour &30 minutes
