Studio,Start time,,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,8:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=156&classId=5617&classDate=1/5/2024&clsLoc=1,Evening Subsidy Class (Classes from 6:30pm-8:30pm),Various Teaching Artists,none,none,11 hours
Mark Morris Dance,8:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=155&classId=5630&classDate=1/5/2024&clsLoc=1,Morning Subsidy Class (Classes from 9am-1:30pm),Various Teaching Artists,none,none,5 hours &30 minutes
Mark Morris Dance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=5626&classDate=1/5/2024&clsLoc=1,Open Level Pilates,Andrea *Murillo (Mask Optional),none,none,1 hour
Mark Morris Dance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4992&classDate=1/5/2024&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,10:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5060&classDate=1/5/2024&clsLoc=1,Cunningham Technique Open Class,Rotating *Cunningham Faculty (Mask Optional),none,Allen *Fogelsanger,1 hour &30 minutes
Mark Morris Dance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4946&classDate=1/5/2024&clsLoc=1,Beginner/Intermediate Broadway Jazz,Avital Asuleen (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5627&classDate=1/5/2024&clsLoc=1,Countertechnique®,Francesca *Dominguez,none,none,1 hour &30 minutes
Mark Morris Dance,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4949&classDate=1/5/2024&clsLoc=1,Beginner Tap,Yuka Kameda (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=3519&classDate=1/5/2024&clsLoc=1,Open Level Hip-Hop,Danielle Criss (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:00 pm EST,none,Open Level West African,Cancelled Today,none,none,1 hour &30 minutes
