Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825999&classDate=4/15/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146827387&classDate=4/15/2024&clsLoc=1,IN-STUDIO Romana’s Pilates,LifeSpan Pilates,Studio 2B,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826001&classDate=4/15/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5C,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826006&classDate=4/15/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Carlos Chavez (2),Studio 5B,1 hour
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825997&classDate=4/15/2024&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5D,1 hour
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826003&classDate=4/15/2024&clsLoc=1,IN-STUDIO Hip Hop Cardio,Judith McCarty (1),Studio 5D,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826000&classDate=4/15/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 5A,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826002&classDate=4/15/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825996&classDate=4/15/2024&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,none,IN-STUDIO New Way Vogue,Cancelled Today,none,1 hour &30 minutes
