Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3563&classDate=12/21/2023&clsLoc=1,Professional Level Taylor Modern,Joao Carvalho (4),none,Tom Farrell,1 hour &30 minutes
Taylor School,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3605&classDate=12/21/2023&clsLoc=1,Adult Open Ballet,Olivia Passarelli,none,none,1 hour &30 minutes
