Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826059&classDate=2/6/2024&clsLoc=1,ONLINE: Zumba,Diego Chauca,none,1 hour
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826058&classDate=2/6/2024&clsLoc=1,ONLINE: Open Samba,Nao Yamada (1),none,1 hour &30 minutes
