Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EDT,none,Open Ballet,Greg Zane,none,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,none,Adv Ballet,Artistic Director: Igal Perry,Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,none,Inter Contemporary,Jordan Ryder | RYDERDANCE,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,none,Adv Contemporary,Elisabetta Minutoli,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,none,Beg Ballet,Martha Chapman,Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,none,Open Emergent Improvisation,Troy Ogilvie,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,none,Adv Choreography,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=5/20/2024&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,none,Inter Contemporary,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=5/20/2024&clsLoc=1,Open Pilates,Yuki Hasegawa,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=5/20/2024&clsLoc=1,Beg Graham,Caterina Rago,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7186&classDate=5/20/2024&clsLoc=1,Inter Contemporary Floorwork,Marija Obradovic,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=5/20/2024&clsLoc=1,Open House,Ejoe Wilson,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=5/20/2024&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6763&classDate=5/20/2024&clsLoc=1,Inter Theater,Diego Funes,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6852&classDate=5/20/2024&clsLoc=1,Adv Commercial Hip Hop,Joshua Johnson,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6831&classDate=5/20/2024&clsLoc=1,Inter Contemporary,Catie Leasca,none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=5/20/2024&clsLoc=1,Adv Choreography,Masumi Kambayashi (1),none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,none,Adv Contemporary,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6657&classDate=5/20/2024&clsLoc=1,Beg Hip Hop,Hurrikane _,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6656&classDate=5/20/2024&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA Society,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7350&classDate=5/20/2024&clsLoc=1,Inter Ballet,Greg Zane,none,none,none,1 hour &30 minutes
Peridance,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=5/20/2024&clsLoc=1,Inter Afrobeats,Omari Wiles,none,none,none,1 hour &30 minutes
