Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825959&classDate=1/8/2024&clsLoc=1,IN-STUDIO Barre Fusion,Brandy Williams,Studio 2B,1 hour
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825208&classDate=1/8/2024&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 5C,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825203&classDate=1/8/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824896&classDate=1/8/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824846&classDate=1/8/2024&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5B,1 hour
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824849&classDate=1/8/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824858&classDate=1/8/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824876&classDate=1/8/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824843&classDate=1/8/2024&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825218&classDate=1/8/2024&clsLoc=1,IN-STUDIO New Way Vogue,Jason Rodriguez,Studio 5D,1 hour &30 minutes
