Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=9007&classDate=1/8/2024&clsLoc=1,In-StudioNJ: MANIAC | VIVIZ (Part 1),Maylin Ramos,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=9012&classDate=1/8/2024&clsLoc=1,In-StudioNJ: Guilty | TAEMIN (Part 2),Min Seon Kim,none,1 hour &20 minutes
