Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082996&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Tap,MacDonald,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085049&classDate=9/19/2023&clsLoc=1,Virtual 90 Beg Broadway Tap,Winans,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082371&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv Tap,Carminucci,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084622&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,McRoberts,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085703&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv Theater Dance,"Lewis, S.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082355&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Classic Theater Jazz,Moore,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084662&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Griffin,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087816&classDate=9/19/2023&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,Biagini,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087347&classDate=9/19/2023&clsLoc=1,Virtual 90 Int Theater Jazz,"Wilson, Debbie",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082370&classDate=9/19/2023&clsLoc=1,Virtual 90 Open Afro Brazilian,Silva,Steps on Broadway,1 hour & 30 minutes
