Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Beg Ballet,Eureka Nakano Grimes,none,2024-02-07,Ballet
Steps,09:00:00,Open Yoga For Dancers,Hannah Dober,none,2024-02-07,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Julia Dubno,none,2024-02-07,Ballet
Steps,09:00:00,Beg Ballet,Kathy Sullivan,none,2024-02-07,Ballet
BDC,09:00:00,Beg Lyrical,Emily Bufferd,none,2024-02-07,Contemporary/Modern
Peridance,09:00:00,Open Yoga,Sarah Iguchi,none,2024-02-07,Additional Disciplines
BDC,09:00:00,"Ed Dept ""Ballet Fundamentals"" W/ Deanna Doyle",ITP Master Class,none,2024-02-07,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2024-02-07,Ballet
Peridance,09:30:00,Open Body Maintenance Training,Roukijah “NutellaK” Rooks,none,2024-02-07,Additional Disciplines
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none,2024-02-07,Ballet
BAE,10:00:00,Beg Ballet,Julie Voshell,none,2024-02-07,Ballet
Peridance,10:00:00,Int Contemp,Brandon Coleman,none,2024-02-07,Contemporary/Modern
Gibney,10:00:00,Contemp Playground,Shane Larson,none,2024-02-07,Contemporary/Modern
Peridance,10:00:00,Adv Ballet,Giada Matteini (1),none,2024-02-07,Ballet
Peridance,10:00:00,Open Barre À Terre,Anabella Lenzu,none,2024-02-07,Ballet
Taylor School,10:00:00,Professional Level Taylor Modern,Alex Clayton (3),none,2024-02-07,Contemporary/Modern
Gibney,10:00:00,Pro Ballez,Katy Pyle,none,2024-02-07,Ballet
Steps,10:00:00,Open Pilates,Stephanie Ross,none,2024-02-07,Additional Disciplines
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,none,2024-02-07,Ballet
Steps,10:00:00,Adv/Int Ballet,Kate Loh,none,2024-02-07,Ballet
Steps,10:00:00,Adv/Beg Tap,Kat Ponza,none,2024-02-07,Tap
Mark Morris,10:15:00,Cunningham Technique Open Class,Mandy Kirschner Salva *Cunningham  (3),none,2024-02-07,Contemporary/Modern
BDC,10:30:00,Adv Beg Hip-Hop,Paolo Slice Penala,none,2024-02-07,Street/Choreography
BDC,10:30:00,Int Jazz,Sara Edwards,none,2024-02-07,Jazz
BDC,10:30:00,Adv Beg Tap,Dre Torres,none,2024-02-07,Tap
BDC,10:30:00,Int Ballet,Deanna Doyle,none,2024-02-07,Ballet
BAE,10:30:00,Intro To Ballet,Shirley Bassat,none,2024-02-07,Ballet
Gibney,10:30:00,Bartenieff Fundamentals At 280,Alexandra Beller,none,2024-02-07,Additional Disciplines
BDC,10:30:00,Basic Theater,Melodye Redding,none,2024-02-07,Theater
Steps,10:45:00,Adv/Beg Ballet,Kathy Sullivan,none,2024-02-07,Ballet
Ballet Arts,11:00:00,Int Ballet,Kenny Larson,none,2024-02-07,Ballet
Steps,11:00:00,Adv/Beg Jazz,Sam Lobel,none,2024-02-07,Jazz
Steps,11:00:00,Rommett Floor Barre,Jodi Moccia,none,2024-02-07,Ballet
BDC,11:00:00,Ed Dept Company Ballet,ProSem Master,none,2024-02-07,Ballet
BAE,11:30:00,Adv Beg Ballet,Julie Voshell,none,2024-02-07,Ballet
Peridance,11:30:00,Beg Ballet,Martha Chapman,none,2024-02-07,Ballet
Peridance,11:30:00,Adv Ballet,Michelle Thompson (2),none,2024-02-07,Ballet
Steps,11:30:00,Adv Pro Ballet,Nancy Bielski,none,2024-02-07,Ballet
Peridance,11:30:00,Int Contemp,Marijke Eliasberg,none,2024-02-07,Contemporary/Modern
Peridance,11:30:00,Int Broadway Jazz,Sue Samuels,none,2024-02-07,Theater
Steps,11:45:00,Basic Tap,Yuka Kameda,none,2024-02-07,Tap
Steps,11:45:00,Adv/Int Ballet,Violeta Angelova (1),none,2024-02-07,Ballet
BDC,12:00:00,Beg Theater Tap,Doug Shankman,none,2024-02-07,Tap
Steps,12:00:00,Beg Tap,Germaine Goodson,none,2024-02-07,Tap
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none,2024-02-07,Ballet
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,none,2024-02-07,Contemporary/Modern
Ailey,12:00:00,Zumba Fitness,Will Negrillo,none,2024-02-07,Additional Disciplines
BAE,12:00:00,Int Ballet,Stephanie Godino,none,2024-02-07,Ballet
BAE,12:00:00,Basic Beg Ballet,Shirley Bassat,none,2024-02-07,Ballet
BDC,12:00:00,Beg Jazz Funk,Chio,none,2024-02-07,Street/Choreography
Gibney,12:00:00,Simonson Jazz,Leann Gioia,none,2024-02-07,Jazz
BDC,12:00:00,Adv Beg Theater,Ian Klein,none,2024-02-07,Theater
Mark Morris,12:10:00,Contemp Simonson Technique,Laurie *De Vito,none,2024-02-07,Contemporary/Modern
BDC,12:30:00,Ed Dept Company Ballet,ProSem Master,none,2024-02-07,Ballet
Steps,12:30:00,Adv/Beg Pointe,Kathy Sullivan,none,2024-02-07,Ballet
Steps,12:30:00,Int Ballet,Noriko Hara,none,2024-02-07,Ballet
Gibney,12:30:00,Movement Research At 280,Anat Meiri,none,2024-02-07,Additional Disciplines
Peridance,13:00:00,Int Choreo,James Kho,none,2024-02-07,Street/Choreography
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,none,2024-02-07,Ballet
Peridance,13:00:00,Beg Horton,Katrina Perrin,none,2024-02-07,Contemporary/Modern
Peridance,13:00:00,Int Ballet,Billy Blanken,none,2024-02-07,Ballet
Steps,13:00:00,Int Theater Dance,Andrew Winans (2),none,2024-02-07,Theater
Steps,13:00:00,Adv/Int Theater Jazz Master Class,Warren Carlyle,none,2024-02-07,Theater
Brickhouse,13:30:00,Contemp Int,Rae-ann Thomas,none,2024-02-07,Contemporary/Modern
BDC,13:30:00,Int Contemp Fusion,Camryn Brothers,none,2024-02-07,Contemporary/Modern
BDC,13:30:00,Basic Hip-Hop,Geheny Rivera,none,2024-02-07,Street/Choreography
Steps,13:30:00,Int Tap,Shelby Kaufman,none,2024-02-07,Tap
BDC,13:30:00,Basic Tap,Avital Asuleen,none,2024-02-07,Tap
BDC,13:30:00,Beg Jumps And Turns,Eric Campros,none,2024-02-07,Additional Disciplines
Steps,13:30:00,Int Jazz,John Leggio,none,2024-02-07,Jazz
BDC,13:30:00,Int Theater,Tanner Lane,none,2024-02-07,Theater
Steps,13:45:00,Adv/Beg Tap,Germaine Goodson,none,2024-02-07,Tap
Gibney,14:00:00,Contemp Floorwork,Dual Rivet,none,2024-02-07,Contemporary/Modern
Gibney,14:00:00,Movement Research At 280,Kari Ostensen,none,2024-02-07,Additional Disciplines
Steps,14:30:00,Int Ballet,Kurt Froman,none,2024-02-07,Ballet
Peridance,14:30:00,Adv Contemp,Ashley Robicheaux (3),none,2024-02-07,Contemporary/Modern
Ballet Arts,14:30:00,Adv Beg Ballet,Kate Loh,none,2024-02-07,Ballet
Peridance,14:30:00,Open Stretch,Diego Funes,none,2024-02-07,Additional Disciplines
Peridance,14:30:00,Beg House,Ejoe Wilson,none,2024-02-07,Street/Choreography
Steps,14:45:00,Adv/Beg Theater Jazz,Krystyna Resavy,none,2024-02-07,Theater
BDC,15:00:00,Adv Beg Jazz,Sheila Barker,none,2024-02-07,Jazz
BDC,15:00:00,Beg Theater,Josh Zacher,none,2024-02-07,Theater
Brickhouse,15:00:00,Hip Hop Int/Adv,Nick Kim,none,2024-02-07,Street/Choreography
Steps,15:00:00,Int Jazz,Adrian Lee,none,2024-02-07,Jazz
BDC,15:00:00,Adv Beg Tap,Brent McBeth,none,2024-02-07,Tap
BDC,15:00:00,Int Street Jazz,Masumi Kambayashi (2),none,2024-02-07,Street/Choreography
BDC,15:00:00,Basic Ballet,Cara Leggio (1),none,2024-02-07,Ballet
PMT,15:00:00,Open Reggaeton,David Machicado,none,2024-02-07,World
Steps,15:15:00,Adv/Int Contemp,Max Stone,none,2024-02-07,Contemporary/Modern
Steps,15:30:00,Basic Tap,Germaine Goodson,none,2024-02-07,Tap
Peridance,16:00:00,Open Dancehall,Korie Genius,none,2024-02-07,World
Steps,16:00:00,Alignment Floor Work,Lonne Moretton,none,2024-02-07,Additional Disciplines
Ballet Arts,16:00:00,Int Ballet,Noriko Hara,none,2024-02-07,Ballet
Peridance,16:00:00,Int Hip Hop,TweetBoogie _,none,2024-02-07,Street/Choreography
PMT,16:30:00,Int Choreo,Youran Lee,none,2024-02-07,Street/Choreography
Brickhouse,16:30:00,Expressive Movement Int/Adv,Kyla Bullings,none,2024-02-07,Street/Choreography
Steps,16:30:00,Int Contemp Jazz,Savannah Cobb,none,2024-02-07,Contemporary/Modern
BDC,16:30:00,All Levels Restorative Meditation,Sarah Simon Wolff,none,2024-02-07,Additional Disciplines
BDC,16:30:00,Adv Beg Hip-Hop,AntBoogie,none,2024-02-07,Street/Choreography
BDC,16:30:00,Int Tap,Rashaan James II (4),none,2024-02-07,Tap
BDC,16:30:00,Adv Beg Theater,Jason Wise,none,2024-02-07,Theater
BDC,16:30:00,Beg Ballet,Dorit Koppel,none,2024-02-07,Ballet
Steps,16:45:00,Adv/Int Ballet,Espen Giljane,none,2024-02-07,Ballet
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,none,2024-02-07,Additional Disciplines
PJM,17:00:00,Hip Hop Found,Beasty,none,2024-02-07,Street/Choreography
