Studio,Start time,Classes,Instructor,Sign up
Modega,18:30:00,All Levels Jerz,E Skilllz,https://sutrapro.com/modega/checkout/jxdySYZBMKsSJCt96Tk3
Modega,18:30:00,Beg/Adv. Beg. Street Styles Choreo,Amy Gatewood,https://sutrapro.com/modega/checkout/CcSWkTnXuLuqeUeP5h8F
Modega,21:30:00,"""Every Thursday"" Open Freestyle Session",8-Legx & CJ & Darien Van Rensalier & Paco Hopskotch Valencia,https://sutrapro.com/modega/checkout/q8ZzygYgfF2rdRKpQ0ze
