Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146824986&classDate=10/20/2023&clsLoc=1,ONLINE: Absolute Beginner Ballet,Ronald Alexander,none,1 hour & 30 minutes
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146825405&classDate=10/20/2023&clsLoc=1,ONLINE New Way Vogue,Jason Rodriguez,none,1 hour & 30 minutes
