Studio,Start time,Classes,Instructor,Sign up
ILD Queens,18:00:00,Batter Up | Babymonster Part 1,Winnie Chung,none
ILD Queens,19:30:00,Standing Next To You | Jungkook Part 1,Ying Dong,none
