Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Adv Beg Ballet,Luis Villar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18319&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,09:00:00,Basic Contemp,Lorena Cobos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18535&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
Steps,09:00:00,Int Ballet,Cave,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147082816&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,09:00:00,Basic Theater,Melodye Redding,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18451&classDate=10/31/2023&clsLoc=1,2023-10-31,Theater
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7972&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,09:15:00,All Levels Yoga And Meditation,Lauren Marsaglia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18339&classDate=10/31/2023&clsLoc=1,2023-10-31,Additional Disciplines
Peridance,09:30:00,Open Ballet,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6659&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,"Kaufman, L. (1)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087079&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Ballet Arts,10:00:00,Open Level Ballet,Yumiko Niimi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2371&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BAE,10:00:00,Basic Beg Ballet,Selina Chau,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7942&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Gibney,10:00:00,Countertechnique At 280,Catheryn Clifford,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12844&classDate=10/31/2023&clsLoc=1,2023-10-31,Additional Disciplines
Mark Morris,10:00:00,Adv Ballet,Sam Black *MMDG Co. Director,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4990&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Taylor School,10:00:00,Professional Level Taylor Modern,Annmaria Mazzini (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3561&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
Steps,10:00:00,Adv Pro Ballet,Beloserkovsky,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087080&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Gibney,10:00:00,Ballet,Gilbert T Small II,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12556&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Peridance,10:00:00,Adv Ballet,Elizabeth Ferrell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6794&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Peridance,10:00:00,Int Contemp,Jordan Ryder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6973&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
BAE,10:00:00,Mat Pilates Class,Ashley Carter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7905&classDate=10/31/2023&clsLoc=1,2023-10-31,Additional Disciplines
Peridance,10:30:00,Open Zena Rommett Floor-Barre,LuAnn Leonard,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5918&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,10:30:00,Adv Beg Tap,Dre Torres,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18289&classDate=10/31/2023&clsLoc=1,2023-10-31,Tap
BDC,10:30:00,Adv Beg Contemp,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18109&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
BDC,10:30:00,Beg Ballet,June Chin (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18146&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,10:30:00,Adv Beg Theater,Jason Wise,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18198&classDate=10/31/2023&clsLoc=1,2023-10-31,Theater
Steps,10:30:00,Rommett Floor Barre,Wesley,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087081&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,10:45:00,All Levels Lastics Stretch Technique,Donna Flagg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18190&classDate=10/31/2023&clsLoc=1,2023-10-31,Additional Disciplines
Peridance,11:00:00,Open Pointe,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6660&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Steps,11:00:00,Adv/Beg Ballet,Kemezis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084561&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,11:00:00,Ed Dept Body Conditioning,ProSem Master,none,2023-10-31,Additional Disciplines
Steps,11:00:00,Adv/Beg Broadway Tap,Black,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085532&classDate=10/31/2023&clsLoc=1,2023-10-31,Tap
BAE,11:30:00,Int Ballet,Shirley Bassat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7992&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5374&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Peridance,11:30:00,Beg Contemp,Bo Kyung Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6733&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
BAE,11:30:00,Intro To Ballet,Julie Voshell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7928&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Ballet Arts,11:30:00,Tap,Stephen Reed,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2407&classDate=10/31/2023&clsLoc=1,2023-10-31,Tap
Peridance,11:30:00,Adv Contemp,Chris Ralph,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6661&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
Peridance,11:30:00,Open Gyrokinesis,Naoko Moriyama-Robbins,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5466&classDate=10/31/2023&clsLoc=1,2023-10-31,Additional Disciplines
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087003&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
Steps,11:45:00,Adv/Int Jazz Fusion,Wendle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087806&classDate=10/31/2023&clsLoc=1,2023-10-31,Street/Choreography
BAE,12:00:00,Beg Ballet,Marsha Knight (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7956&classDate=10/31/2023&clsLoc=1,2023-10-31,Ballet
BDC,12:00:00,Int Theater,Jack Sippel (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18491&classDate=10/31/2023&clsLoc=1,2023-10-31,Theater
SassClass,12:00:00,Sexy Stilettos,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=797&classDate=10/31/2023&clsLoc=1,2023-10-31,Street/Choreography
BDC,12:00:00,Beg Broadway Jazz,Sue Samuels,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18492&classDate=10/31/2023&clsLoc=1,2023-10-31,Theater
Mark Morris,12:00:00,Beg Modern,Claudia *McDonald,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4613&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
Steps,12:00:00,Int Tap,Carminucci,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087088&classDate=10/31/2023&clsLoc=1,2023-10-31,Tap
BDC,12:00:00,Beg Tap,Doug Shankman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18220&classDate=10/31/2023&clsLoc=1,2023-10-31,Tap
Gibney,12:00:00,Contemp Dynamic Sequencing,Adam Barruch,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12942&classDate=10/31/2023&clsLoc=1,2023-10-31,Contemporary/Modern
